id,lat,lon,alt,state,name
013816,31.8700,-86.2542,132.0,AL,HIGHLAND-HOME
018178,31.5411,-87.8833,118.9,AL,THOMASVILLE
034572,36.4947,-91.5350,153.0,AR,MAMMOTH-SPRING
035754,34.2256,-92.0189,65.5,AR,PINE-BLUFF
035908,33.8203,-93.3878,93.9,AR,PRESCOTT
026796,34.5706,-112.4322,1586.5,AZ,PRESCOTT
027281,33.6731,-111.1508,672.1,AZ,ROOSEVELT
028619,31.7056,-110.0569,1405.1,AZ,TOMBSTONE
029287,33.9792,-112.7403,638.6,AZ,WICKENBURG
029359,35.2406,-112.1903,2057.4,AZ,WILLIAMS
041912,39.0911,-120.9481,725.4,CA,COLFAX
042239,32.9897,-116.5872,1414.3,CA,CUYAMACA
042294,38.5350,-121.7761,18.3,CA,DAVIS
044890,36.3817,-119.0264,156.4,CA,LEMON-COVE
044997,37.6922,-121.7692,146.3,CA,LIVERMORE
045532,37.2858,-120.5117,46.6,CA,MERCED
046399,34.4478,-119.2275,227.1,CA,OJAI
046506,39.7458,-122.1997,77.4,CA,ORLAND
046508,41.3089,-123.5317,122.8,CA,ORLEANS
046719,34.1483,-118.1447,263.3,CA,PASADENA
046730,35.6278,-120.6856,213.4,CA,PASO-ROBLES
047916,36.9906,-121.9911,39.6,CA,SANTA-CRUZ
047965,38.4381,-122.6978,53.0,CA,SANTA-ROSA
048758,39.1678,-120.1428,1898.9,CA,TAHOE-CITY
049122,39.1467,-123.2103,193.9,CA,UKIAH
050848,39.9919,-105.2667,1671.5,CO,BOULDER
051294,38.4600,-105.2256,1635.6,CO,CANON-CITY
051528,39.2203,-105.2783,2097.0,CO,CHEESMAN
052281,39.6261,-106.0353,2763.0,CO,DILLON
053146,39.1653,-108.7331,1378.9,CO,FRUITA
054770,38.0936,-102.6306,1105.5,CO,LAMAR
055722,38.4858,-107.8792,1764.5,CO,MONTROSE
057936,40.4883,-106.8233,2094.0,CO,STEAMBOAT-SPRINGS
083186,26.5850,-81.8614,4.6,FL,FT-MYERS
084731,30.1853,-82.5942,59.4,FL,LAKE-CITY
087851,28.3378,-82.2600,57.9,FL,SAINT-LEO
090140,31.5339,-84.1489,54.9,GA,ALBANY
092966,32.2003,-83.2058,121.9,GA,EASTMAN
093621,34.3006,-83.8600,356.6,GA,GAINESVILLE
095874,33.0831,-83.2497,112.2,GA,MILLEDGEVILLE
099291,32.8694,-85.1892,175.3,GA,WEST-POINT
131635,41.7947,-90.2639,178.3,IA,CLINTON
132789,41.0211,-91.9553,225.6,IA,FAIRFIELD
132864,42.8503,-91.8158,344.4,IA,FAYETTE
134063,41.3656,-93.6481,287.1,IA,INDIANOLA
134894,41.6381,-95.7883,301.8,IA,LOGAN
138296,42.0356,-92.5806,289.3,IA,TOLEDO
100470,44.0425,-111.2739,1588.6,ID,ASHTON
103732,42.5872,-111.7275,1691.6,ID,GRACE
104831,47.5311,-116.1267,707.1,ID,KELLOGG
106152,46.7244,-116.9608,810.8,ID,MOSCOW
106542,42.2342,-113.8981,1389.6,ID,OAKLEY
110338,41.7806,-88.3092,201.2,IL,AURORA
112193,39.8275,-88.9525,189.0,IL,DECATUR
116910,40.8853,-88.6389,198.1,IL,PONTIAC
120784,39.1742,-86.5214,253.0,IN,BLOOMINGTON
=129557,39.9961,-86.3542,289.0,IN,WHITESTOWN
143527,38.8586,-99.3358,612.6,KS,HAYS
143810,39.6703,-95.5225,313.9,KS,HORTON
143954,37.2364,-95.7003,245.4,KS,INDEPENDENCE
150909,36.9647,-86.4239,160.9,KY,BOWLING-GREEN
153430,37.2592,-85.5022,179.8,KY,GREENSBURG
160098,31.3206,-92.4611,26.5,LA,ALEXANDRIA
161411,32.5133,-92.3478,54.9,LA,CALHOUN
=165026,30.2050,-91.9875,11.6,LA,LAFAYETTE
190120,42.3861,-72.5375,45.7,MA,AMHERST
194105,42.6992,-71.1658,15.2,MA,LAWRENCE
196486,41.9819,-70.6961,13.7,MA,PLYMOUTH
186620,39.4133,-79.4000,737.6,MD,OAKLAND
188000,38.3650,-75.5892,3.0,MD,SALISBURY
172765,44.6889,-70.1567,128.0,ME,FARMINGTON
200230,42.2947,-83.7108,274.3,MI,ANN-ARBOR
200779,43.7072,-85.4822,283.5,MI,BIG-RAPIDS
201675,41.9622,-84.9925,299.9,MI,COLDWATER
202423,44.2839,-83.5036,178.6,MI,EAST-TAWAS
204104,46.4656,-90.1892,435.9,MI,IRONWOOD
212698,43.6447,-94.4656,361.8,MN,FAIRMONT
215638,45.5903,-95.8747,347.5,MN,MORRIS
216565,44.0139,-96.3258,519.7,MN,PIPESTONE
217405,44.3222,-93.9656,259.1,MN,ST-PETER
219249,44.2992,-92.6661,300.2,MN,ZUMBROTA
231037,39.4247,-93.1331,201.8,MO,BRUNSWICK
235976,36.8639,-94.3600,308.2,MO,NEOSHO
238051,39.9714,-91.8872,210.3,MO,STEFFENVILLE
220021,33.8300,-88.5214,60.4,MS,ABERDEEN
221707,34.1864,-90.5572,52.7,MS,CLARKSDALE
223887,31.2547,-89.3392,117.3,MS,HATTIESBURG
224776,33.0583,-89.5797,125.0,MS,KOSCIUSKO
225987,31.5519,-90.1058,58.2,MS,MONTICELLO
226177,31.5889,-91.3408,59.4,MS,NATCHEZ
241044,45.6622,-111.0453,1497.5,MT,BOZEMAN
241552,47.2194,-111.7100,1024.1,MT,CASCADE
