id,lat,lon,alt,state,name,mlow,mhigh
13816,31.87,-86.2542,132.0,AL,HIGHLAND-HOME,53,76
18178,31.5411,-87.8833,118.9,AL,THOMASVILLE,53,76
34572,36.4947,-91.535,153.0,AR,MAMMOTH-SPRING,45,71
35754,34.2256,-92.0189,65.5,AR,PINE-BLUFF,52,74
35908,33.8203,-93.3878,93.9,AR,PRESCOTT,51,75
26796,34.5706,-112.4322,1586.5,AZ,PRESCOTT,37,69
27281,33.6731,-111.1508,672.1,AZ,ROOSEVELT,54,81
28619,31.7056,-110.0569,1405.1,AZ,TOMBSTONE,49,77
29287,33.9792,-112.7403,638.6,AZ,WICKENBURG,47,83
29359,35.2406,-112.1903,2057.4,AZ,WILLIAMS,35,63
41912,39.0911,-120.9481,725.4,CA,COLFAX,46,70
42239,32.9897,-116.5872,1414.3,CA,CUYAMACA,40,66
42294,38.535,-121.7761,18.3,CA,DAVIS,45,74
44890,36.3817,-119.0264,156.4,CA,LEMON-COVE,49,77
44997,37.6922,-121.7692,146.3,CA,LIVERMORE,45,73
45532,37.2858,-120.5117,46.6,CA,MERCED,47,76
46399,34.4478,-119.2275,227.1,CA,OJAI,44,78
46506,39.7458,-122.1997,77.4,CA,ORLAND,48,75
46508,41.3089,-123.5317,122.8,CA,ORLEANS,43,71
46719,34.1483,-118.1447,263.3,CA,PASADENA,51,76
46730,35.6278,-120.6856,213.4,CA,PASO-ROBLES,41,76
47916,36.9906,-121.9911,39.6,CA,SANTA-CRUZ,45,68
47965,38.4381,-122.6978,53.0,CA,SANTA-ROSA,43,71
48758,39.1678,-120.1428,1898.9,CA,TAHOE-CITY,30,56
49122,39.1467,-123.2103,193.9,CA,UKIAH,43,73
50848,39.9919,-105.2667,1671.5,CO,BOULDER,38,64
51294,38.46,-105.2256,1635.6,CO,CANON-CITY,39,68
51528,39.2203,-105.2783,2097.0,CO,CHEESMAN,28,62
52281,39.6261,-106.0353,2763.0,CO,DILLON,18,51
53146,39.1653,-108.7331,1378.9,CO,FRUITA,34,66
54770,38.0936,-102.6306,1105.5,CO,LAMAR,37,69
55722,38.4858,-107.8792,1764.5,CO,MONTROSE,34,63
57936,40.4883,-106.8233,2094.0,CO,STEAMBOAT-SPRINGS,22,55
